year,color_name,rgb,quantity,color_info
1990,Fabuland Brown,B67B50,1,Fabuland Brown (B67B50)
1990,Green,237841,235,Green (237841)
1990,Light Gray,9BA19D,2603,Light Gray (9BA19D)
1990,Nougat,D09168,1,Nougat (D09168)
1990,Red,C91A09,3554,Red (C91A09)
1990,Trans-Clear,FCFCFC,172,Trans-Clear (FCFCFC)
1990,Trans-Dark Blue,0020A0,53,Trans-Dark Blue (0020A0)
1990,Trans-Green,84B68D,23,Trans-Green (84B68D)
1990,Trans-Light Blue,AEEFEC,127,Trans-Light Blue (AEEFEC)
1990,Trans-Neon Green,F8F184,90,Trans-Neon Green (F8F184)
1990,Trans-Red,C91A09,135,Trans-Red (C91A09)
1990,Trans-Yellow,F5CD2F,130,Trans-Yellow (F5CD2F)
1990,White,FFFFFF,3831,White (FFFFFF)
1990,Yellow,F2CD37,1731,Yellow (F2CD37)
1990,[No Color/Any Color],05131D,158,[No Color/Any Color] (05131D)
1991,Black,05131D,4313,Black (05131D)
1991,Blue,0055BF,1126,Blue (0055BF)
1991,Brown,583927,145,Brown (583927)
1991,Chrome Gold,BBA53D,12,Chrome Gold (BBA53D)
1991,Dark Gray,6D6E5C,191,Dark Gray (6D6E5C)
1991,Earth Orange,FA9C1C,1,Earth Orange (FA9C1C)
1991,Fabuland Brown,B67B50,3,Fabuland Brown (B67B50)
1991,Fabuland Red,FF8014,4,Fabuland Red (FF8014)
1991,Green,237841,256,Green (237841)
1991,Light Gray,9BA19D,2628,Light Gray (9BA19D)
1991,Light Pink,FECCCF,6,Light Pink (FECCCF)
1991,Nougat,D09168,5,Nougat (D09168)
1991,Red,C91A09,3590,Red (C91A09)
1991,Rust,B31004,1,Rust (B31004)
1991,Trans-Clear,FCFCFC,306,Trans-Clear (FCFCFC)
1991,Trans-Dark Blue,0020A0,71,Trans-Dark Blue (0020A0)
1991,Trans-Green,84B68D,32,Trans-Green (84B68D)
1991,Trans-Light Blue,AEEFEC,144,Trans-Light Blue (AEEFEC)
1991,Trans-Neon Green,F8F184,126,Trans-Neon Green (F8F184)
1991,Trans-Red,C91A09,146,Trans-Red (C91A09)
1991,Trans-Yellow,F5CD2F,173,Trans-Yellow (F5CD2F)
1991,White,FFFFFF,3007,White (FFFFFF)
1991,Yellow,F2CD37,2595,Yellow (F2CD37)
1991,[No Color/Any Color],05131D,48,[No Color/Any Color] (05131D)
1992,Black,05131D,3821,Black (05131D)
1992,Blue,0055BF,791,Blue (0055BF)
1992,Brown,583927,193,Brown (583927)
1992,Chrome Gold,BBA53D,36,Chrome Gold (BBA53D)
1992,Dark Gray,6D6E5C,123,Dark Gray (6D6E5C)
1992,Duplo Lime,FFF230,5,Duplo Lime (FFF230)
1992,Duplo Pink,FF879C,14,Duplo Pink (FF879C)
1992,Green,237841,216,Green (237841)
1992,Light Gray,9BA19D,2760,Light Gray (9BA19D)
1992,Light Green,C2DAB8,12,Light Green (C2DAB8)
1992,Light Pink,FECCCF,98,Light Pink (FECCCF)
1992,Maersk Blue,3592C3,4,Maersk Blue (3592C3)
